Date,avg_wind_speed_m_s,Mean viral gene copies/L,smoothed,zscore
2025-04-02,16.489334,544462.523809524,544462.523809524,-0.411005299084143
2025-04-03,7.2309756,533088.476190476,533088.476190476,-0.428296822323551
2025-04-04,5.746492,521714.428571429,521714.428571429,-0.445588345562959
2025-04-05,5.06273,510340.380952381,510340.380952381,-0.462879868802368
2025-04-06,6.1141105,498966.333333333,498966.333333333,-0.480171392041776
2025-04-07,4.50165,487592.285714286,487592.285714286,-0.497462915281184
2025-04-08,4.1640506,476218.238095238,476218.238095238,-0.514754438520592
2025-04-09,4.062793,464844.190476191,464844.190476191,-0.532045961760001
2025-04-10,4.0454297,453470.142857143,453470.142857143,-0.549337484999409
2025-04-11,4.0709705,442096.095238095,444335.173469388,-0.566629008238817
2025-04-12,5.62441,430722.047619048,437439.282312925,-0.583920531478225
2025-04-13,5.588285,419348,432782.469387755,-0.601212054717633
2025-04-14,5.572775,423647.5,430364.734693878,-0.594675691704406
2025-04-15,4.540071,427947,431455.027210884,-0.588139328691178
2025-04-16,7.1970468,432246.5,436053.346938776,-0.58160296567795
2025-04-17,7.4427066,436546,444159.693877551,-0.575066602664722
2025-04-18,8.42821,449728.142857143,453534.989795918,-0.555026302395734
2025-04-19,7.9611125,462910.285714286,464179.234693878,-0.534986002126745
2025-04-20,7.2693744,476092.428571429,476092.428571429,-0.514945701857757
2025-04-21,6.5179706,489274.571428571,489274.571428571,-0.494905401588769
2025-04-22,6.2681146,502456.714285714,508469.360544218,-0.474865101319781
2025-04-23,6.7399654,515638.857142857,533676.795918368,-0.454824801050793
2025-04-24,6.5666137,528821,564896.87755102,-0.434784500781804
2025-04-25,7.535511,584091.666666667,591685.295918368,-0.350758650958232
2025-04-26,9.218115,639362.333333333,614042.051020408,-0.26673280113466
2025-04-27,8.960597,694633,631967.142857143,-0.182706951311088
2025-04-28,5.744786,676793.5,645460.571428572,-0.209827650921387
2025-04-29,5.8605533,658954,674362.019047619,-0.236948350531686
2025-04-30,5.848333,641114.5,718671.485714286,-0.264069050141984
2025-05-01,5.381287,623275,778388.971428572,-0.291189749752283
2025-05-02,7.3487144,786401.8,863958.785714286,-0.0431944056457068
2025-05-03,8.719142,949528.6,975380.928571429,0.204800938460869
2025-05-04,12.291589,1112655.4,1049561.92857143,0.452796282567445
2025-05-05,7.6484933,1275782.2,1086501.78571429,0.700791626674021
2025-05-06,5.5442944,1438909,1093640.81428571,0.948786970780597
2025-05-07,7.774964,1160381.5,1070979.01428571,0.525352420445249
2025-05-08,7.1909375,881854,1018516.38571429,0.1019178701099
2025-05-09,5.606678,836375,938381.5,0.0327779111661643
